Posição,Nome,Partido,Votos
1,"Marquinhos Trad","PDT",8567
2,"Rafael Tavares","PL",8128 
3,"Carlão","PSB",6912 
4,"Silvio Pitu","PSDB",6409 
5,"Veterinário Francisco","União",6371 
6,"Fábio Rocha","União",6314 
7,"Professor Riverton","PP",6271 
8,"Junior Coringa","MDB",6131 
9,"Dr Victor Rocha","PSDB",5355 
10,"Professor Juari","PSDB",5050 
11,"Flavio Cabo Almi","PSDB",5003 
12,"Luiza Ribeiro","PT",4982 
13,"André Salineiro","PL",4782 
14,"Papy","PSDB",4641 
15,"Ana Portela","PL",4577 
16,"Neto Santos","Republicanos",4576 
17,"Maicon Nogueira","PP",4236 
18,"Delei Pinheiro","PP",4179 
19,"Wilson Lands","Avante",4148 
20,"Herculano Borges","Republicanos",4119 
21,"Beto Avelar","PP",4063
22,"Doutor Jamal","MDB",4030
23,"Landmark","PT",4022
24,"Dr. Sandro","PP",3922
25,"Betinho","Republicanos",3877
26,"Clodoilson Pires","Pode",3859
27,"Jean Ferreira","PT",3768
28,"Professor João Rocha","PP",3693
29,"Valdir Gomes","PP",3648
30,"Doutor Lívio","União",3636
